name	description	median_diff
Hs~Ref:NM_007083.2~uORF:IOH12334	nudix (nucleoside diphosphate linked moiety X)-type motif 6 (NUDT6), transcript variant 1	226.0
Hs~MGC:BC003152.1~uORF:IOH5139	Zinc transporter ZIP1	226.0
Hs~Ref:NM_001663.2~uORF:IOH4954	ADP-ribosylation factor 6 (ARF6)	226.0
Hs~MGC:BC007957.1~uORF:IOH6766	chromosome 20 open reading frame 116 (C20orf116)	226.0
Hs~Ref:NM_003746.1~uORF:IOH43452	dynein, light chain, LC8-type 1 (DYNLL1), transcript variant 3	226.0
Hs~MGC:BC012472.1~uORF:IOH11069	ubiquitin D (UBD)	226.0
Hs~MGC:BC021105.1~uORF:IOH14081	cutC copper transporter homolog (E. coli) (CUTC)	226.0
Hs~MGC:NM_003848.1~uORF:IOH26605	succinate-CoA ligase, GDP-forming, beta subunit (SUCLG2)	226.0
Hs~MGC:BC009012.1~uORF:IOH3329	phosphoribosyl pyrophosphate synthetase-associated protein 1 (PRPSAP1)	226.0
Hs~MGC:BC063479.1~uORF:IOH39883	La ribonucleoprotein domain family, member 4 (LARP4)	226.0
Hs~Ref:NM_152322.2~uORF:IOH44718	BTB (POZ) domain containing 11 (BTBD11), transcript variant 1	225.5
Hs~Ref:NM_003338.2~uORF:IOH7482	ubiquitin-conjugating enzyme E2D 1 (UBC4/5 homolog, yeast) (UBE2D1)	225.5
Hs~MGC:NM_152267.2~uORF:IOH14506	ring finger protein 185 (RNF185)	225.5
Hs~MGC:BC069677.1~uORF:IOH61907	Regulator of G-protein signaling 8	225.5
Hs~Ref:NM_001017973.1~uORF:IOH26049	Prolyl 4-hydroxylase subunit alpha-2	225.5
Hs~MGC:BC057838.1~uORF:IOH29209	sterile alpha motif domain containing 4A (SAMD4A)	225.5
Hs~Ref:NM_018841.3~uORF:IOH57343	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	225.0
Hs~Ref:NM_032259.1~uORF:IOH6995	WD repeat domain 24 (WDR24)	225.0
Hs~MGC:BC017702.1~uORF:IOH11854	zinc finger, DHHC-type containing 7 (ZDHHC7)	225.0
Hs~Ref:NM_002755.2~N/A	mitogen-activated protein kinase kinase 1 (MAP2K1); see catalog number for detailed information on wild-type or point mutant status	224.5
Hs~Ref:NM_033345.1~uORF:IOH40371	regulator of G-protein signaling 8 (RGS8), transcript variant 1	224.5
Hs~Ref:NM_018014.2~uORF:IOH12520	B-cell CLL/lymphoma 11A (zinc finger protein) (BCL11A), transcript variant 2	224.5
Hs~MGC:AB065662.1~uORF:IOH28287	olfactory receptor, family 6, subfamily B, member 3 (OR6B3), mRNA	224.5
Hs~Ref:NM_005804.2~uORF:IOH3477	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39 (DDX39)	224.0
Hs~Ref:NM_139012.1~uORF:IOH4647	mitogen-activated protein kinase 14 (MAPK14), transcript variant 2	224.0
Hs~Ref:NM_004508.1~uORF:IOH7273	isopentenyl-diphosphate delta isomerase 1 (IDI1)	224.0
Hs~Ref:NM_018401.1~N/A	Serine/threonine-protein kinase 32B	224.0
Hs~Ref:NM_020648.3~uORF:IOH10689	twisted gastrulation homolog 1 (Drosophila) (TWSG1)	224.0
Hs~Ref:NM_000206.1~uORF:IOH14230	interleukin 2 receptor, gamma (severe combined immunodeficiency) (IL2RG)	224.0
Hs~MGC:BC016985.2~uORF:IOH28621	ankyrin repeat domain 44 (ANKRD44)	224.0
Hs~MGC:BC048301.1~uORF:IOH26612	zinc finger, CCHC domain containing 11 (ZCCHC11)	224.0
Hs~MGC:BC011857.2~uORF:IOH46160	immunoglobulin heavy constant mu (IGHM)	223.5
Hs~Ref:NM_001694.2~uORF:IOH56918	V-type proton ATPase 16 kDa proteolipid subunit	223.5
Hs~MGC:BC001861.2~uORF:IOH40580	testis expressed 101 (TEX101)	223.5
Hs~MGC:BC032587.1~uORF:IOH21953	tubby like protein 3 (TULP3)	223.5
Hs~MGC:BC005085.1~uORF:IOH6621	zinc finger protein 607 (ZNF607)	223.5
Hs~Ref:NM_012095.2~uORF:IOH12776	adaptor-related protein complex 3, mu 1 subunit (AP3M1), transcript variant 2	223.5
Hs~Ref:NM_013375.2~uORF:IOH1920	activator of basal transcription 1 (ABT1)	223.5
Hs~MGC:BC070091.1~uORF:IOH62493	Caspase recruitment domain-containing protein 9	223.5
Hs~Ref:NM_005165.1~uORF:IOH3879	aldolase C, fructose-bisphosphate (ALDOC)	223.0
Hs~Ref:NM_000114.2~uORF:IOH57032	Endothelin-3	223.0
Hs~Ref:NM_019884.1~N/A	Glycogen synthase kinase-3 alpha	223.0
Hs~Ref:NM_006306.2~uORF:IOH44953	structural maintenance of chromosomes 1A (SMC1A)	223.0
Hs~Ref:NM_013328.2~uORF:IOH11728	pyrroline-5-carboxylate reductase family, member 2 (PYCR2)	223.0
Hs~Ref:XM_376764.2~uORF:IOH40703	paraneoplastic antigen MA2 (PNMA2)	223.0
Hs~Ref:NM_145206.1~uORF:IOH11028	vesicle transport through interaction with t-SNAREs homolog 1A (yeast) (VTI1A), transcript variant 2	223.0
Hs~Ref:NM_001932.2~uORF:IOH29065	membrane protein, palmitoylated 3 (MAGUK p55 subfamily member 3) (MPP3), transcript variant 1	222.5
Hs~Ref:NM_017444.2~uORF:IOH10035	chromatin accessibility complex 1 (CHRAC1)	222.5
Hs~Ref:NM_012094.3~uORF:IOH42322	peroxiredoxin 5 (PRDX5), nuclear gene encoding mitochondrial protein, transcript variant 1	222.5
Hs~MGC:BC068518.1~uORF:IOH61668	BTB/POZ domain-containing protein KCTD9	222.5
Hs~MGC:BC070055.1~uORF:IOH40142	Guanylate-binding protein 4	222.0
Hs~Ref:NM_144714.1~uORF:IOH11221	PP2C-like domain-containing protein C3orf48	222.0
Hs~Ref:NM_012086.1~uORF:IOH55731	General transcription factor 3C polypeptide 3	222.0
Hs~Ref:NM_134425.1~uORF:IOH11026	Sulfate anion transporter 1	222.0
Hs~MGC:BC064145.1~uORF:IOH40031	CDK5 regulatory subunit associated protein 1-like 1 (CDKAL1)	221.5
Hs~Ref:NM_007240.1~uORF:IOH6325	dual specificity phosphatase 12 (DUSP12)	221.5
Hs~Ref:NM_052848.1~uORF:IOH13249	coiled-coil domain containing 97 (CCDC97)	221.5
Hs~MGC:BC098149.1~uORF:IOH63298	Variable charge X-linked protein 3	221.5
Hs~MGC:BC038585.1~uORF:IOH26053	Tripartite motif-containing protein 15	221.5
Hs~MGC:BC000784.1~uORF:IOH4711	baculoviral IAP repeat-containing 5 (survivin) (BIRC5)	221.5
Hs~Ref:NM_001615.2~uORF:IOH13748	actin, gamma 2, smooth muscle, enteric (ACTG2)	221.5
Hs~Ref:NM_006431.2~uORF:IOH41691	chaperonin containing TCP1, subunit 2 (beta) (CCT2)	221.5
Hs~Ref:NM_000910.1~uORF:IOH28389	neuropeptide Y receptor Y2 (NPY2R)	221.0
Hs~MGC:BC064485.1~uORF:IOH40682	lymphocyte antigen 9 (LY9)	221.0
Hs~Ref:NM_007220.1~uORF:IOH11664	carbonic anhydrase VB, mitochondrial (CA5B), nuclear gene encoding mitochondrial protein	221.0
Hs~Ref:NM_014045.3~uORF:IOH41955	low density lipoprotein receptor-related protein 10 (LRP10)	220.5
Hs~Ref:NM_016614.1~uORF:IOH10129	TRAF and TNF receptor associated protein (TTRAP)	220.5
Hs~Ref:NM_006807.2~uORF:IOH4111	chromobox homolog 1 (HP1 beta homolog Drosophila ) (CBX1)	220.5
Hs~Ref:NM_198331.1~uORF:IOH42150	Phosphatidylinositide phosphatase SAC2	220.5
Hs~Ref:NM_001448.2~uORF:IOH25750	glypican 4 (GPC4)	220.5
Hs~Ref:NM_005990.1~N/A	Serine/threonine-protein kinase 10	220.5
Hs~MGC:BC009194.2~uORF:IOH13702	polymerase (DNA directed), gamma 2, accessory subunit (POLG2)	220.5
Hs~MGC:BC004522.1~uORF:IOH5691	RAB, member RAS oncogene family-like 5 (RABL5)	220.0
Hs~MGC:BC010033.1~uORF:IOH27835	quinolinate phosphoribosyltransferase (nicotinate-nucleotide pyrophosphorylase (carboxylating)) (QPRT)	220.0
Hs~Ref:NM_145699.2~uORF:IOH35258	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A (APOBEC3A)	220.0
Hs~MGC:BC009197.2~uORF:IOH27820	BH3 interacting domain death agonist (BID)	219.5
Hs~Ref:NM_000107.1~uORF:IOH4740	damage-specific DNA binding protein 2, 48kDa (DDB2)	219.5
Hs~Ref:NM_001004307.1~uORF:IOH40197	hypothetical LOC339541 (MGC33556)	219.5
Hs~Ref:NM_144608.1~uORF:IOH14178	hexamthylene bis-acetamide inducible 2 (HEXIM2)	219.5
Hs~MGC:BC021739.1~uORF:IOH28646	hypothetical LOC554201	219.5
Hs~Ref:NM_006201.2~N/A	Serine/threonine-protein kinase PCTAIRE-3	219.0
Hs~Ref:NM_002899.2~uORF:IOH58961	Retinol-binding protein 1	219.0
Hs~Ref:NM_006395.1~uORF:IOH52654	Autophagy-related protein 7	219.0
Hs~MGC:BC001632.1~uORF:IOH4852	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial	219.0
Hs~MGC:BC040351.1~uORF:IOH25766	FAD-dependent oxidoreductase domain containing 2 (FOXRED2)	219.0
Hs~Ref:NM_173518.2~uORF:IOH40744	chromosome 8 open reading frame 45 (C8orf45)	219.0
Hs~Ref:NM_000849.1~uORF:IOH4761	glutathione S-transferase M3 (brain) (GSTM3)	218.5
Hs~Ref:NM_024047.2~uORF:IOH4171	nudix (nucleoside diphosphate linked moiety X)-type motif 9 (NUDT9), transcript variant 1	218.5
Hs~MGC:BC006273.1~uORF:IOH6379	T-cell activation NFKB-like protein (TA-NFKBH)	218.5
Hs~Ref:NM_006343.1~N/A	Proto-oncogene tyrosine-protein kinase MER	218.5
Hs~Ref:NM_133494.1~CAT:PV3833	NIMA (never in mitosis gene a)- related kinase 7 (NEK7)	218.5
Hs~Ref:NM_004936.2~uORF:IOH12785	cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4) (CDKN2B), transcript variant 1	218.5
Hs~MGC:BC042848.1~uORF:IOH27665	tetratricopeptide repeat domain 30A (TTC30A)	218.5
Hs~MGC:BC010518.1~uORF:IOH10184	megalencephalic leukoencephalopathy with subcortical cysts 1 (MLC1)	218.0
Hs~Ref:NM_030770.1~uORF:IOH39634	transmembrane protease, serine 5 (spinesin) (TMPRSS5)	218.0
Hs~Ref:NM_017877.2~uORF:IOH11542	chromosome 2 open reading frame 18 (C2orf18)	218.0
Hs~Ref:NM_033293.1~uORF:IOH40681	caspase 1, apoptosis-related cysteine peptidase (interleukin 1, beta, convertase) (CASP1), transcript variant gamma	218.0
Hs~MGC:BC031606.1~uORF:IOH22809	peroxisomal biogenesis factor 7 (PEX7)	217.5
Hs~Ref:NM_014184.1~uORF:IOH4181	cornichon homolog 4 (Drosophila) (CNIH4)	217.5
Hs~MGC:BC019883.1~uORF:IOH11101	C-type lectin domain family 2 member D	217.5
Hs~Ref:NM_016233.1~uORF:IOH44889	peptidyl arginine deiminase, type III (PADI3)	217.5
Hs~MGC:BC047056.1~uORF:IOH27319	DnaJ (Hsp40) homolog, subfamily B, member 2 (DNAJB2)	217.5
Hs~MGC:BC020600.1~uORF:IOH12780	STEAP family member 4 (STEAP4)	217.5
Hs~Ref:NM_002443.2~uORF:IOH7298	microseminoprotein, beta- (MSMB), transcript variant PSP94	217.5
Hs~Ref:XM_048235.2~uORF:IOH43018	Huntingtin-interacting protein M	217.5
Hs~Ref:NM_004454.1~uORF:IOH5884	ets variant gene 5 (ets-related molecule) (ETV5)	217.5
Hs~MGC:BC058924.1~uORF:IOH29105	ubiquitin-conjugating enzyme E2M (UBC12 homolog, yeast) (UBE2M)	217.5
Hs~MGC:BC010125.1~uORF:IOH13046	chromosome 3 open reading frame 37 (C3orf37)	217.5
Hs~Ref:NM_144705.1~uORF:IOH11065	tektin 4 (TEKT4)	217.0
Hs~MGC:BC002371.2~uORF:IOH59061	Protein NipSnap homolog 1	217.0
Hs~MGC:NM_178588.1~uORF:IOH13592	protein phosphatase 2, regulatory subunit B', gamma isoform (PPP2R5C), transcript variant 4	217.0
Hs~MGC:BC010931.1~uORF:IOH14302	myocyte enhancer factor 2B (MEF2B)	217.0
Hs~Ref:NM_005985.2~uORF:IOH56124	Zinc finger protein SNAI1	216.5
Hs~MGC:BC052966.1~uORF:IOH28846	poly (ADP-ribose) glycohydrolase (PARG)	216.5
Hs~MGC:BC065928.1~uORF:IOH39967	ubiquitin specific peptidase 28 (USP28)	216.5
Hs~MGC:BC019954.1~uORF:IOH21472	RNA guanylyltransferase and 5'-phosphatase (RNGTT)	216.5
Hs~MGC:BC068078.1~uORF:IOH40781	nucleophosmin/nucleoplasmin, 2 (NPM2)	216.5
Hs~MGC:NM_152576.1~uORF:IOH23047	hypothetical protein MGC24103 (MGC24103)	216.5
Hs~Ref:NM_005868.3~uORF:IOH2876	BET1 homolog (S. cerevisiae) (BET1)	216.0
Hs~Ref:NM_022573.1~uORF:IOH35467	testis specific protein, Y-linked 2 (TSPY2)	216.0
Hs~MGC:BC056257.1~uORF:IOH29441	adaptor-related protein complex 3, mu 2 subunit (AP3M2)	215.5
Hs~MGC:BC040558.1~uORF:IOH27718	dynein, cytoplasmic 2, light intermediate chain 1 (DYNC2LI1)	215.5
Hs~Ref:NM_015492.2~uORF:IOH4170	Uncharacterized protein C15orf39	215.5
Hs~Ref:NM_022777.1~uORF:IOH14797	RAB, member RAS oncogene family-like 5 (RABL5)	215.0
Hs~Ref:NM_058169.1~uORF:IOH10242	loss of heterozygosity, 12, chromosomal region 1 (LOH12CR1)	215.0
Hs~Ref:NM_001023.2~uORF:IOH6083	ribosomal protein S20 (RPS20)	215.0
Hs~MGC:BC047765.1~uORF:IOH26665	ATP-binding cassette, sub-family A (ABC1), member 8 (ABCA8)	215.0
Hs~MGC:BC016730.1~uORF:IOH27890	HCLS1 associated protein X-1 (HAX1)	215.0
Hs~Ref:NM_001397.1~uORF:IOH42625	endothelin converting enzyme 1 (ECE1)	215.0
Hs~Ref:NM_004044.4~uORF:IOH57030	Bifunctional purine biosynthesis protein PURH	215.0
Hs~Ref:NM_001612.3~uORF:IOH11009	acrosomal vesicle protein 1 (ACRV1), transcript variant 1	215.0
Hs~MGC:BC058003.1~uORF:IOH29430	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase) (NPL)	215.0
Hs~Ref:NM_007002.1~uORF:IOH13967	adhesion regulating molecule 1 (ADRM1), transcript variant 1	214.5
Hs~MGC:BC009078.1~uORF:IOH3357	chromosome 16 open reading frame 74 (C16orf74)	214.5
Hs~Ref:NM_004708.2~uORF:IOH11821	programmed cell death 5 (PDCD5)	214.5
Hs~Ref:NM_002789.2~uORF:IOH7299	proteasome (prosome, macropain) subunit, alpha type, 4 (PSMA4), transcript variant 1	214.5
Hs~Ref:NM_052965.1~uORF:IOH56031	tRNA-splicing endonuclease subunit Sen15	214.5
Hs~MGC:BC005254.1~uORF:IOH7277	C-type lectin domain family 2, member B (CLEC2B)	214.0
Hs~Ref:NM_002686.2~uORF:IOH27402	phenylethanolamine N-methyltransferase (PNMT)	214.0
Hs~Ref:NM_020397.1~N/A	calcium/calmodulin-dependent protein kinase ID (CAMK1D), transcript variant 1	214.0
Hs~MGC:BC001045.1~uORF:IOH4660	RUN and SH3 domain containing 1 (RUSC1)	214.0
Hs~Ref:NM_014667.1~uORF:IOH29305	vestigial like 4 (Drosophila) (VGLL4)	214.0
Hs~Ref:NM_014046.2~uORF:IOH1899	mitochondrial ribosomal protein S18B (MRPS18B), nuclear gene encoding mitochondrial protein	213.5
Hs~Ref:NM_019612.2~uORF:IOH40077	immunity-related GTPase family, cinema (IRGC)	213.5
Hs~Ref:NM_001010971.1~uORF:IOH41645	sterile alpha motif domain containing 13 (SAMD13)	213.5
Hs~Ref:NM_004952.3~uORF:IOH11980	ephrin-A3 (EFNA3)	213.5
Hs~MGC:NM_153220.1~uORF:IOH22700	dpy-19-like 3 (C. elegans) (DPY19L3)	213.5
Hs~MGC:BC062302.1~uORF:IOH62980	Phosphoglycerate mutase 1	213.5
Hs~Ref:NM_138800.1~uORF:IOH10304	tripartite motif-containing 43 (TRIM43)	213.5
Hs~MGC:BC012084.1~uORF:IOH13025	phosphatidylcholine transfer protein (PCTP)	213.0
Hs~MGC:BC009198.1~uORF:IOH14404	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene (RRN3)	213.0
Hs~MGC:BC017085.1~uORF:IOH10382	serine incorporator 2 (SERINC2)	213.0
Hs~MGC:BC007324.1~uORF:IOH7013	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	213.0
Hs~Ref:NM_001860.1~uORF:IOH12315	solute carrier family 31 (copper transporters), member 2 (SLC31A2)	213.0
Hs~Ref:NM_006404.3~uORF:IOH53863	Endothelial protein C receptor	213.0
Hs~Ref:NM_018120.3~uORF:IOH13750	armadillo repeat containing 1 (ARMC1)	213.0
Hs~Ref:NM_001154.2~uORF:IOH5099	annexin A5 (ANXA5)	212.5
Hs~MGC:BC010935.1~uORF:IOH12932	casein kappa (CSN3)	212.5
Hs~Ref:NM_019103.1~uORF:IOH9858	zinc finger, matrin type 5 (ZMAT5), transcript variant 1	212.5
Hs~MGC:BC018302.1~uORF:IOH10233	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae) (TRMT1)	212.5
Hs~MGC:BC013918.1~uORF:IOH27878	eukaryotic translation elongation factor 1 gamma (EEF1G)	212.5
Hs~MGC:BC014552.1~uORF:IOH12669	Thiamin pyrophosphokinase 1	212.5
Hs~MGC:NM_152353.1~uORF:IOH22553	claudin domain containing 2 (CLDND2)	212.5
Hs~Ref:NM_057176.2~uORF:IOH35514	Bartter syndrome, infantile, with sensorineural deafness (Barttin) (BSND)	212.5
Hs~Ref:NM_020673.1~uORF:IOH10004	RAB22A, member RAS oncogene family (RAB22A)	212.5
Hs~Ref:NM_025161.2~uORF:IOH14763	Fanconi anemia-associated protein of 100 kDa	212.0
Hs~MGC:BC017936.1~uORF:IOH13624	guanidinoacetate N-methyltransferase (GAMT)	212.0
Hs~MGC:BC031655.1~uORF:IOH22760	chromosome 1 open reading frame 38 (C1orf38)	212.0
Hs~MGC:BC058027.1~uORF:IOH29431	LysM, putative peptidoglycan-binding, domain containing 3 (LYSMD3)	212.0
Hs~MGC:BC066645.1~uORF:IOH39925	methionine adenosyltransferase II, beta (MAT2B)	212.0
Hs~Ref:NM_005051.1~uORF:IOH3529	glutaminyl-tRNA synthetase (QARS)	212.0
Hs~Ref:NM_002503.2~uORF:IOH11051	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta (NFKBIB), transcript variant 1	211.5
Hs~Ref:NM_019891.1~uORF:IOH26775	ERO1-like beta (S. cerevisiae) (ERO1LB)	211.5
Hs~Ref:NM_003251.1~uORF:IOH22149	thyroid hormone responsive (SPOT14 homolog, rat) (THRSP)	211.5
Hs~Ref:NM_015214.1~uORF:IOH41859	Phospholipase DDHD2	211.5
Hs~Ref:NM_024812.1~uORF:IOH9655	Brain and acute leukemia cytoplasmic protein	211.0
Hs~Ref:NM_005431.1~uORF:IOH57264	DNA repair protein XRCC2	211.0
Hs~MGC:BC006206.2~uORF:IOH46182	NIK and IKK{beta} binding protein (NIBP)	211.0
Hs~MGC:BC034926.1~uORF:IOH23229	Cartilage intermediate layer protein 2	211.0
Hs~MGC:BC014532.1~uORF:IOH12798	decapping enzyme, scavenger (DCPS)	211.0
Hs~MGC:BC014170.1~uORF:IOH22995	Phosphatidylinositol 3-kinase regulatory subunit beta	211.0
Hs~Ref:NM_021649.3~uORF:IOH43638	toll-like receptor adaptor molecule 2 (TICAM2)	210.5
Hs~Ref:NM_019099.1~uORF:IOH22645	chromosome 1 open reading frame 183 (C1orf183), transcript variant 1	210.5
Hs~Ref:NM_005019.3~uORF:IOH11117	phosphodiesterase 1A, calmodulin-dependent (PDE1A), transcript variant 1	210.5
Hs~Ref:NM_016369.3~uORF:IOH41005	claudin 18 (CLDN18), transcript variant 1	210.5
Hs~MGC:NM_174923.1~uORF:IOH14835	coiled-coil domain containing 107 (CCDC107)	210.5
Hs~MGC:BC047776.2~uORF:IOH26688	coiled-coil domain containing 43 (CCDC43)	210.5
Hs~Ref:NM_020367.2~uORF:IOH13091	poly (ADP-ribose) polymerase family, member 11 (PARP11)	210.5
Hs~Ref:NM_002923.1~uORF:IOH7121	regulator of G-protein signaling 2, 24kDa (RGS2)	210.0
Hs~Ref:NM_139245.2~uORF:IOH53944	Protein phosphatase 1L	210.0
Hs~Ref:NM_174925.1~uORF:IOH43618	hypothetical protein LOC205251 (LOC205251)	210.0
Hs~Ref:NM_006307.2~uORF:IOH13589	sushi-repeat-containing protein, X-linked (SRPX)	210.0
Hs~Ref:NM_021062.2~uORF:IOH35040	histone cluster 1, H2bb (HIST1H2BB)	210.0
Hs~MGC:BC038104.2~uORF:IOH27177	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 1 (RCBTB1)	210.0
Hs~MGC:BC025990.1~uORF:IOH11070	heparan sulfate 2-O-sulfotransferase 1 (HS2ST1)	210.0
Hs~MGC:BC001662.1~N/A	MAP kinase-activated protein kinase 3	210.0
Hs~MGC:BC053989.1~uORF:IOH29368	zinc finger protein 179 (ZNF179)	209.5
Hs~Ref:NM_022372.2~uORF:IOH11516	G protein beta subunit-like (GBL)	209.5
Hs~Ref:NM_182835.1~uORF:IOH45521	sec1 family domain containing 1 (SCFD1), transcript variant 2	209.5
Hs~Ref:NM_015068.1~uORF:IOH27074	paternally expressed 10 (PEG10), transcript variant 1	209.5
Hs~MGC:BC032708.1~uORF:IOH21938	transducin (beta)-like 1X-linked (TBL1X)	209.5
Hs~Ref:NM_002622.3~uORF:IOH14625	prefoldin subunit 1 (PFDN1)	209.5
Hs~Ref:NM_004071.1~CAT:PV3315	Dual specificity protein kinase CLK1	209.0
Hs~MGC:BC038998.1~uORF:IOH26172	fragile X mental retardation 1 (FMR1)	209.0
Hs~MGC:BC016615.1~uORF:IOH10688	RAB37, member RAS oncogene family (RAB37)	209.0
Hs~Ref:NM_153289.2~uORF:IOH40759	defensin, beta 119 (DEFB119), transcript variant 1	209.0
Hs~MGC:BC020107.1~uORF:IOH11079	nucleoporin 133kDa (NUP133)	209.0
Hs~Ref:NM_001004299.1~uORF:IOH45686	FLJ43980 protein (FLJ43980)	209.0
Hs~MGC:BC000772.1~uORF:IOH4704	Myosin light chain 2, lymphocyte-specific	209.0
Hs~MGC:BC057772.1~uORF:IOH29154	chromosome 18 open reading frame 22 (C18orf22)	209.0
Hs~Ref:NM_030761.3~uORF:IOH29127	wingless-type MMTV integration site family, member 4 (WNT4)	208.5
Hs~Ref:NM_014065.2~uORF:IOH43942	Protein asteroid homolog 1	208.5
Hs~MGC:BC042195.1~uORF:IOH28766	malonyl CoA:ACP acyltransferase (mitochondrial) (MCAT)	208.5
Hs~Ref:NM_016322.2~uORF:IOH6559	RAB14, member RAS oncogene family (RAB14)	208.5
Hs~MGC:BC001172.1~uORF:IOH4467	Transcriptional adapter 2-alpha	208.5
Hs~Ref:NM_032567.1~uORF:IOH21814	spermatogenic leucine zipper 1 (SPZ1)	208.0
Hs~Ref:NM_000270.1~uORF:IOH41122	Purine nucleoside phosphorylase	208.0
Hs~Ref:NM_001012425.1~uORF:IOH44762	chromosome 1 open reading frame 146 (C1orf146)	208.0
Hs~Ref:NM_006243.2~uORF:IOH54021	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform	208.0
Hs~Ref:NM_005511.1~uORF:IOH58949	Melanoma antigen recognized by T-cells 1	208.0
Hs~Ref:NM_078473.1~uORF:IOH1833	TM2 domain containing 2 (TM2D2), transcript variant 1	208.0
Hs~Ref:NM_002064.1~uORF:IOH58942	Glutaredoxin-1	207.5
Hs~MGC:BC020979.1~uORF:IOH21444	ZW10 interactor (ZWINT)	207.5
Hs~MGC:BC042912.1~uORF:IOH28030	seryl-tRNA synthetase 2, mitochondrial (SARS2)	207.5
Hs~Ref:NM_033348.1~uORF:IOH35365	potassium channel, subfamily K, member 7 (KCNK7), transcript variant B	207.5
Hs~Ref:NM_003845.1~CAT:PV3871	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 (DYRK4)	207.5
Hs~MGC:NM_173554.1~uORF:IOH25890	chromosome 10 open reading frame 107 (C10orf107)	207.5
Hs~Ref:NM_032673.1~uORF:IOH5517	polycomb group ring finger 1 (PCGF1)	207.0
Hs~Ref:NM_006802.1~uORF:IOH3503	splicing factor 3a, subunit 3, 60kDa (SF3A3)	207.0
Hs~MGC:BC065266.1~uORF:IOH40484	Neutral alpha-glucosidase AB	207.0
Hs~MGC:BC031053.1~uORF:IOH22523	lecithin retinol acyltransferase (phosphatidylcholine--retinol O-acyltransferase) (LRAT)	207.0
Hs~Ref:NM_031465.2~uORF:IOH6623	chromosome 12 open reading frame 32 (C12orf32)	207.0
Hs~MGC:BC012887.1~uORF:IOH25768	Nucleolar and spindle-associated protein 1	207.0
Hs~MGC:BC067219.1~uORF:IOH40730	statherin (STATH)	207.0
Hs~MGC:BC067773.1~uORF:IOH40125	arginine/serine-rich coiled-coil 2 (RSRC2)	206.5
Hs~Ref:NM_001008211.1~uORF:IOH57143	Optineurin	206.5
Hs~Ref:NM_000961.3~uORF:IOH37838	prostaglandin I2 (prostacyclin) synthase (PTGIS)	206.5
Hs~Ref:NM_017853.1~uORF:IOH10793	thioredoxin-like 4B (TXNL4B)	206.5
Hs~Ref:NM_007194.1~N/A	Serine/threonine-protein kinase Chk2	206.5
Hs~MGC:BC029399.1~uORF:IOH23147	aldolase B, fructose-bisphosphate (ALDOB)	206.5
Hs~MGC:BC009674.1~uORF:IOH9894	Yip1 domain family, member 1 (YIPF1)	206.5
Hs~MGC:BC002510.2~uORF:IOH3936	RAB6B, member RAS oncogene family (RAB6B)	206.5
Hs~MGC:BC020197.1~uORF:IOH13293	1-aminocyclopropane-1-carboxylate synthase-like protein 1	206.0
Hs~Ref:NM_006978.1~uORF:IOH10306	ring finger protein 113A (RNF113A)	206.0
Hs~Ref:NM_133375.2~uORF:IOH13442	DIS3-like exonuclease 1	206.0
Hs~Ref:NM_001302.3~uORF:IOH42947	cortistatin (CORT)	206.0
Hs~MGC:BC046129.1~uORF:IOH26911	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) (GALNT7)	206.0
Hs~Ref:NM_001801.2~uORF:IOH54757	Cysteine dioxygenase type 1	206.0
Hs~Ref:NM_007314.1~N/A	Tyrosine-protein kinase ABL2	206.0
Hs~MGC:BC026270.1~uORF:IOH14666	phosphodiesterase 4D interacting protein (myomegalin) (PDE4DIP)	206.0
Hs~MGC:BC027609.2~uORF:IOH11601	spermatid associated (SPERT)	205.5
Hs~Ref:NM_001240.2~CAT:PV4131	cyclin T1 (CCNT1)	205.5
Hs~MGC:BC016308.1~uORF:IOH12905	chemokine (C-X-C motif) ligand 3 (CXCL3)	205.5
Hs~MGC:BC024208.1~uORF:IOH12635	RNA binding motif protein 23 (RBM23)	205.5
Hs~MGC:BC007782.2~uORF:IOH6514	immunoglobulin lambda constant 1 (Mcg marker) (IGLC1)	205.5
Hs~MGC:BC043193.2~uORF:IOH25850	chromosome 4 open reading frame 18 (C4orf18)	205.5
Hs~Ref:NM_003516.2~uORF:IOH4867	histone cluster 2, H2aa3 (HIST2H2AA3)	205.5
Hs~MGC:BC030792.1~uORF:IOH27135	cyclin-dependent kinase 5, regulatory subunit 1 (p35) (CDK5R1)	205.5
